zip,total,grand_total,pct_total
20106,100,20206,99.50509749579332
20109,250,20359,98.7720418488138
20111,75,20186,99.62845536510453
20130,27.5,20157.5,99.86357435197817
20137,1010,21147,95.22390882867546
20143,75,20218,99.62904342664952
20145,120,20265,99.4078460399704
20146,52,20198,99.74254876720468
20147,250,20397,98.77432955826836
20155,634,20789,96.95031026023378
20172,750,20922,96.4152566676226
20175,50,20225,99.75278121137207
20184,857,21041,95.9269996673162
20185,29345,49530,40.75307894205532
20186,20,20206,99.90101949915866
20190,1135,21325,94.67760844079719
20193,75,20268,99.6299585553582
20194,25,20219,99.87635392452644
20201,25,20226,99.87639671709681
20207,1000,21207,95.2845758475975
20227,25,20252,99.8765554019356
20236,314.5,20550.5,98.46962361013114
20406,19,20425,99.90697674418605
20409,165,20574,99.19801691455234
20417,90,20507,99.56112546935194
20464,25,20489,99.87798330811654
20475,20,20495,99.90241522322518
20507,35,20542,99.82961736929218
20509,25,20534,99.8782507061459
20518,15,20533,99.92694686602054
20580,521,21101,97.53092270508506
20601,26617.81,47218.81,43.6287996245564
20602,10456.44,31058.440000000002,66.33301608194101
20603,41199.67,61802.67,33.336747425313504
20604,541,21145,97.44147552612911
20606,16.5,20622.5,99.91999030185477
20607,20866.61,41473.61,49.6870178409837
20608,305.5,20913.5,98.53922107729457
20609,148,20757,99.28698752228165
20610,80.88,20690.88,99.60910314109405
20613,13728.93,34341.93,60.02283505906628
20614,5,20619,99.97575052136379
20615,81.5,20696.5,99.60621361099703
20616,4124.56,24740.56,83.32875246154492
20617,1209.7,21826.7,94.45770547082243
20618,606.5,21224.5,97.14245329689746
20619,7242.92,27861.92,74.00423229985587
20620,755.5,21375.5,96.46557975252041
20621,29,20650,99.8595641646489
20622,1011.5,21633.5,95.32438116809577
20623,3668.56,24291.56,84.89779989428426
20624,139.5,20763.5,99.32814795193488
20625,1323.26,21948.26,93.97100271274353
20626,602.5,21228.5,97.16183432649504
20628,5149,25777,80.0248283353377
20629,425,21054,97.98138121022134
20630,325,20955,98.44905750417561
20634,5724.86,26358.86,78.28107892374709
20636,10881.22,31517.22,65.47531793730538
20637,4259.2,24896.2,82.8921682827098
20639,20916.44,41555.44,49.66618088991478
20640,3346.04,23986.04,86.05005244717343
20645,90,20735,99.56595129008922
20646,17083.51,37729.509999999995,54.721092322693835
20647,10,20657,99.9515902599603
20650,15514.9,36164.9,57.099563388810694
20653,14846.55,35499.55,58.17820225890187
20657,21773.5,42430.5,48.684319062938215
20658,1210.68,21868.68,94.46386338818805
20659,8196.36,28855.36,71.5950173555277
20662,1315.18,21977.18,94.01570174153372
20664,2169,22833,90.5005912495073
20667,428.5,21095.5,97.96876111018938
20670,211,20881,98.9895119965519
20674,1663.22,22337.22,92.55404208760088
20675,4320,24995,82.71654330866173
20676,14001.13,34677.13,59.62431146983618
20677,2125,22802,90.68064204894307
20678,6720.36,27398.36,75.47167056714343
20680,3675,24355,84.91069595565592
20682,25,20707,99.87926788042691
20684,193,20877,99.07553767303732
